中央,中央广播电视台,中央,,,
,,广东,广东粤语频道（高标清同播）,粤语频道（高标清同播）,
,,广东,广东综艺频道(4K超高清)、,综艺频道(4K超高清)、,
,,广东,广东影视频道（高标清同播）,影视频道（高标清同播）,
,,广东,广东少儿频道（高标清同播）,少儿频道（高标清同播）,
,,广东,广东移动电视频道,移动电视频道,仅限境外落地的频道：
,,广东,广东国际频道,国际频道,
广东,深圳市广播电视台,深圳,深圳,,
,,深圳,深圳新闻综合频道（高标清/4K超高清同播）,新闻综合频道（高标清/4K超高清同播）,
,,深圳,深圳电视剧频道（高标清同播）,电视剧频道（高标清同播）,
,,深圳,深圳都市频道（高标清同播）,都市频道（高标清同播）,
,,深圳,深圳娱乐频道（高标清同播）,娱乐频道（高标清同播）,
,,深圳,深圳体育健康频道（高标清同播）,体育健康频道（高标清同播）,
,,深圳,深圳少儿频道（高标清同播）,少儿频道（高标清同播）,
,,深圳,深圳公共频道（高标清同播）,公共频道（高标清同播）,
,,深圳,深圳财经生活频道（高标清同播）,财经生活频道（高标清同播）,
,,深圳,深圳移动电视频道,移动电视频道,
广东,湛江市广播电视台,湛江,湛江,,
,,湛江,湛江新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,湛江,湛江公共频道（高标清同播）,公共频道（高标清同播）,
广东,汕头市广播电视台,汕头,汕头,,
,,汕头,汕头新闻综合频道,新闻综合频道,
,,汕头,汕头文旅体育频道,文旅体育频道,
,,汕头,汕头经济生活频道,经济生活频道,
广东,汕尾市广播电视台,汕尾,汕尾,,
,,汕尾,汕尾新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,汕尾,汕尾公共频道（高标清同播）,公共频道（高标清同播）,
广东,肇庆市广播电视台,肇庆,肇庆,,
,,肇庆,肇庆新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,肇庆,肇庆公共频道（高标清同播）,公共频道（高标清同播）,
广东,阳江市广播电视台,阳江,阳江,,
,,阳江,阳江综合频道（高标清同播）,综合频道（高标清同播）,
,,阳江,阳江公共频道（高标清同播）,公共频道（高标清同播）,
广东,佛山市广播电视台,佛山,佛山,,
,,佛山,佛山综合频道（高标清同播）,综合频道（高标清同播）,
,,佛山,佛山影视频道（高标清同播）,影视频道（高标清同播）,
,,佛山,佛山公共频道（高标清同播）,公共频道（高标清同播）,
,,佛山,佛山南海频道（高标清同播）,南海频道（高标清同播）,
,,佛山,佛山顺德频道（高标清同播）,顺德频道（高标清同播）,
,,佛山,佛山三水电视节目,三水电视节目,
,,佛山,佛山高明电视节目,高明电视节目,
广东,蛇口广播电视台,蛇口,蛇口,,
,,蛇口,蛇口综合频道（高标清同播）,综合频道（高标清同播）,
广东,广州市广播电视台,广州,广州,,
,,广州,广州综合频道（高标清同播）,综合频道（高标清同播）,
,,广州,广州新闻频道（高标清同播）,新闻频道（高标清同播）,
,,广州,广州南国都市频道（4K超高清频道）,南国都市频道（4K超高清频道）,
,,广州,广州竞赛频道（高标清同播）,竞赛频道（高标清同播）,
,,广州,广州法治频道（高标清同播）,法治频道（高标清同播）,
,,广州,广州影视频道（高标清同播）,影视频道（高标清同播）,
广东,河源市广播电视台,河源,河源,,
,,河源,河源新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,河源,河源公共频道（高标清同播）,公共频道（高标清同播）,
广东,中山市广播电视台,中山,中山电视频道：,电视频道：,
,,中山,中山综合频道（高标清同播）,综合频道（高标清同播）,
,,中山,中山公共频道（高标清同播）,公共频道（高标清同播）,
,,中山,中山教育频道（高标清同播）,教育频道（高标清同播）,
广东,惠州市广播电视台,惠州,惠州,,
,,惠州,惠州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,惠州,惠州公共频道（高标清同播）,公共频道（高标清同播）,
广东,云浮市广播电视台,云浮,云浮,,
,,云浮,云浮新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,云浮,云浮公共频道（高标清同播）,公共频道（高标清同播）,
广东,清远市广播电视台,清远,清远,,
,,清远,清远新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,清远,清远公共频道（高标清同播）,公共频道（高标清同播）,
广东,珠海市广播电视台,珠海,珠海,,
,,珠海,珠海新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,珠海,珠海公共频道（高标清同播）,公共频道（高标清同播）,
广东,东莞市广播电视台,东莞,东莞,,
,,东莞,东莞新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,东莞,东莞公共频道（高标清同播）,公共频道（高标清同播）,
广东,江门市广播电视台,江门,江门,,
,,江门,江门综合频道（高标清同播）,综合频道（高标清同播）,
,,江门,江门公共频道（高标清同播）,公共频道（高标清同播）,
,,江门,江门教育频道（高标清同播）,教育频道（高标清同播）,
广东,揭阳市广播电视台,揭阳,揭阳,,
,,揭阳,揭阳新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,揭阳,揭阳公共频道（高标清同播）,公共频道（高标清同播）,
广东,潮州市广播电视台,潮州,潮州,,
,,潮州,潮州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,潮州,潮州公共频道（高标清同播）,公共频道（高标清同播）,
广东,韶关市广播电视台,韶关,韶关,,
,,韶关,韶关新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,韶关,韶关公共频道（高标清同播）,公共频道（高标清同播）,
广东,梅州市广播电视台,梅州,梅州,,
,,梅州,梅州综合频道（高标清同播）,综合频道（高标清同播）,
,,梅州,梅州公共频道（高标清同播）,公共频道（高标清同播）,
广东,茂名市广播电视台,茂名,茂名,,
,,茂名,茂名新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,茂名,茂名公共频道（高标清同播）,公共频道（高标清同播）,
广西,广西广播电视台,广西,广西,,
,,广西,广西综合频道（高标清同播）,综合频道（高标清同播）,
,,广西,广西综艺旅游频道（高标清同播）,综艺旅游频道（高标清同播）,
,,广西,广西都市频道（高标清同播）,都市频道（高标清同播）,
,,广西,广西乐思购频道,乐思购频道,
,,广西,广西影视频道（高标清同播）,影视频道（高标清同播）,
,,广西,广西新闻频道（高标清同播）,新闻频道（高标清同播）,
,,广西,广西科教频道,科教频道,
,,广西,广西公共频道（高标清同播）,公共频道（高标清同播）,
,,广西,广西移动电视频道,移动电视频道,
,,广西,广西国际频道（仅限境外落地）,国际频道（仅限境外落地）,
广西,南宁市广播电视台,南宁,南宁,,
,,南宁,南宁新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,南宁,南宁都市生活频道（高标清同播）,都市生活频道（高标清同播）,
,,南宁,南宁影视娱乐频道（高标清同播）,影视娱乐频道（高标清同播）,
,,南宁,南宁公共频道（高标清同播）,公共频道（高标清同播）,
广西,桂林市广播电视台,桂林,桂林,,
,,桂林,桂林新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,桂林,桂林科教旅游频道,科教旅游频道,
,,桂林,桂林公共频道,公共频道,
广西,北海市广播电视台,北海,北海,,
,,北海,北海新闻综合频道,新闻综合频道,
,,北海,北海经济科教频道,经济科教频道,
,,北海,北海公共频道,公共频道,
广西,玉林市广播电视台,玉林,玉林,,
,,玉林,玉林新闻综合频道,新闻综合频道,
,,玉林,玉林公共频道,公共频道,
广西,梧州市广播电视台,梧州,梧州,,
,,梧州,梧州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,梧州,梧州公共频道（高标清同播）,公共频道（高标清同播）,
,,梧州,梧州教育生活频道（高标清同播）,教育生活频道（高标清同播）,
广西,百色市广播电视台,百色,百色,,
,,百色,百色综合频道（高标清同播）,综合频道（高标清同播）,
,,百色,百色公共频道,公共频道,
